model,dataset,encoder,rows,pca_components,NMI,ARI,ACC,Purity
KMeans,agnews,tfidf,127600,249,0.0255,0.0019,0.2778,0.278
KMeans,20newsgroups,sbert,18331,248,0.5308,0.3675,0.5655,0.5692
KMeans,bbcnews,tfidf,2225,244,0.9045,0.9301,0.9708,0.9708
KMeans,reuters,tfidf,7674,230,0.534,0.3583,0.4881,0.8247
KMeans,dbpedia,tfidf,150000,229,0.5186,0.1337,0.3396,0.4266
KMeans,20newsgroups,tfidf,18331,252,0.4015,0.1333,0.3699,0.3975
KMeans,bbcnews,sbert,2225,160,0.8776,0.906,0.9609,0.9609
KMeans,reuters,sbert,7674,179,0.639,0.4739,0.6142,0.9029
KMeans,dbpedia,sbert,150000,209,0.79,0.6895,0.7888,0.8162
KMeans,agnews,sbert,127600,235,0.5774,0.5932,0.8085,0.8085
IDEC,agnews,tfidf,127600,249,0.5229,0.5636,0.8065,0.8065
IDEC,20newsgroups,sbert,18331,248,0.4887,0.3485,0.4803,0.4897
IDEC,bbcnews,tfidf,2225,244,0.5336,0.4959,0.756,0.756
IDEC,reuters,tfidf,7674,230,0.4003,0.2215,0.3316,0.754
IDEC,dbpedia,tfidf,150000,229,0.6952,0.5725,0.6775,0.7131
IDEC,20newsgroups,tfidf,18331,252,0.3914,0.2555,0.3909,0.4079
IDEC,bbcnews,sbert,2225,160,0.6479,0.6726,0.8571,0.8571
IDEC,reuters,sbert,7674,179,0.4745,0.2775,0.4101,0.7962
IDEC,dbpedia,sbert,150000,209,0.7891,0.7383,0.8548,0.8548
IDEC,agnews,sbert,127600,235,0.6013,0.6367,0.8421,0.8421
SDCN - Baseline,bbcnews,sbert,2225,160,0.8519,0.8737,0.9461,0.9461
SDCN - Baseline,reuters,sbert,7674,179,0.4979,0.4784,0.6252,0.7419
SDCN - Baseline,20newsgroups,sbert,18331,248,0.3601,0.1747,0.3198,0.3432
SDCN - Baseline,agnews,sbert,20000,233,0.5129,0.5289,0.7739,0.7739
SDCN - Baseline,dbpedia,sbert,20000,207,0.7191,0.6122,0.7446,0.7683
SDCN-SR,bbcnews,sbert,2225,160,0.8787,0.9016,0.9591,0.9591
SDCN-SR,reuters,sbert,7674,179,0.5027,0.4851,0.6513,0.7464
SDCN-SR,20newsgroups,sbert,18331,248,0.3613,0.1754,0.32,0.3433
SDCN-SR,agnews,sbert,20000,233,0.5157,0.5357,0.7772,0.7772
SDCN-SR,dbpedia,sbert,20000,207,0.7103,0.5976,0.7378,0.7622
SDCN-SR-DK,bbcnews,sbert,2225,160,0.8854,0.9092,0.9622,0.9622
SDCN-SR-DK,reuters,sbert,7674,179,0.4989,0.4821,0.6496,0.746
SDCN-SR-DK,20newsgroups,sbert,18331,248,0.3613,0.1754,0.32,0.3433
SDCN-SR-DK,agnews,sbert,20000,233,0.5157,0.5357,0.7772,0.7772
SDCN-SR-DK,dbpedia,sbert,20000,207,0.7093,0.5964,0.7371,0.7615
SDCN-SR-CVC,bbcnews,sbert,2225,160,0.7917,0.7607,0.884,0.884
SDCN-SR-CVC,reuters,sbert,7674,179,0.5375,0.5488,0.6694,0.7707
SDCN-SR-CVC,20newsgroups,sbert,18331,248,0.3611,0.176,0.3204,0.3443
SDCN-SR-CVC,agnews,sbert,20000,233,0.5159,0.5357,0.7773,0.7773
SDCN-SR-CVC,dbpedia,sbert,20000,207,0.695,0.5667,0.7234,0.7447
SDCN-Full,bbcnews,sbert,2225,160,0.7898,0.7617,0.8858,0.8858
SDCN-Full,reuters,sbert,7674,179,0.5377,0.5526,0.6708,0.7701
SDCN-Full,20newsgroups,sbert,18331,248,0.3611,0.176,0.3204,0.3443
SDCN-Full,agnews,sbert,20000,233,0.5159,0.5357,0.7773,0.7773
SDCN-Full,dbpedia,sbert,20000,207,0.695,0.5667,0.7234,0.7447
